ID,q,nu,chi1z,chi2z,chieff,ecc,ecc_gi,m_ano_gi,E0,J0,Emrg_til,Jmrg_til,Heff_til,b_massless,b_massless_Heff,b_massless_EOB,a_f,A_220,A_320,A_440,v_kick,A_peak22,omega_peak22,Mf,af,A_peak22dotdot,A_nr_error,v_kick_qc,A_peak22_qc,omega_peak22_qc,Mf_qc,af_qc,catalog,c2A_22_from_22_220_median,c2A_22_from_22_220_median_err,c3A_22_from_22_220_median,c3A_22_from_22_220_median_err,c2p_22_from_22_220_median,c2p_22_from_22_220_median_err,c3p_22_from_22_220_median,c3p_22_from_22_220_median_err,c4p_22_from_22_220_median,c4p_22_from_22_220_median_err
1244,0.7500000000000013,0.2448979591836735,0.0,0.0,0.0,0.006,,,0.990859338954104,0.979479401743493,0.9707712618091496,2.8204939252860965,0.8823935539571619,2.905415555905276,3.1964126580904564,3.10298554935721,0.6749850184,0.0,0.0,0.0,72.81,0.3841477067033899,0.354840971014454,0.9535159748,0.6749850184,-0.001087649538298,0.001,1.0,0.385416566825435,0.3574701254265389,0.9534713184168964,0.6750187370840793,RIT,0.18241996399893637,0.0021724855844373215,-3.824618102534311,0.26228927185624895,0.1523207089707849,0.001045683896783604,2.572408987884427,0.14859891387251892,0.7295633703127041,0.18293932237044314
1315,1.0,0.25,0.0,0.0,0.0,0.64,,,0.99193873251433,0.806603880448357,0.984489489380525,2.9914939974255166,0.938439109401454,3.038624616813196,3.187733724496544,3.138290346710682,0.7166207057,0.0,0.0,0.0,0.0,0.4095980495061917,0.366220797317144,0.9655945151,0.7166207057,-0.0022205606979395,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,RIT,0.15302830988449279,0.0405223441443495,-3.2789290285016746,0.9183493264084055,0.1412371850898918,0.002247699173867797,1.543220192375877,0.06500295154923466,0.6172371706454547,0.15086562297335238
1218,0.4999999999999993,0.222222222222222,0.0,0.0,0.0,0.13,,,0.990417897397493,0.831856056652837,0.975553722924742,2.904605213563208,0.8913363992027294,2.977391347403305,3.258708178148318,3.1790448951178947,0.6260749935,0.0,0.0,0.0,142.46,0.3484652131328848,0.3472024039125329,0.9611501969,0.6260749935,-0.0008135229085145,0.001,1.0,0.3445819394768172,0.3473434123990122,0.9612091161354084,0.6233940746778821,RIT,0.1938401179706767,0.09878973153198563,-4.323071216177842,0.6666381452646079,0.1662668423909517,0.0027001573286289356,4.232967480946255,0.18755179132030064,2.6762454129219257,0.5642125010266535
1123,1.0,0.25,0.0,0.0,0.0,0.285,,,0.987385121753721,0.847946974017122,0.9740928583650532,2.961844011323832,0.8977137934355988,3.040617725393327,3.2993188174024777,3.2138428975011863,0.7009878137,0.0,0.0,0.0,0.0,0.4193399060703369,0.3581823624660138,0.9502418555,0.7009878137,-0.0004569035418103,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,RIT,0.20028556379920132,0.12099004982748468,-3.5975946505786087,0.41259888140067713,0.1539573969613801,0.0029356167531278503,6.007917617018681,0.38968984868305573,8.39200398056449,0.2658179337596955
1314,1.0,0.25,0.0,0.0,0.0,0.6156,,,0.992066251558944,0.833490676463295,0.9826746943697688,3.042967654516826,0.9312991099094372,3.096617499108808,3.267443963103041,3.210834497812627,0.7226310021,0.0,0.0,0.0,0.0,0.4305034171128117,0.3732657099733283,0.9600655767,0.7226310021,-0.0018770740825138,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,RIT,0.17287443269663058,0.002043088780220045,-1.1893147402459232,0.04304384528551413,0.1441364933621933,0.000954826241408544,1.9611622831873552,0.1316444036293708,0.4976341790968391,0.14785843440405957
1308,1.0,0.25,0.0,0.0,0.0,0.557775,,,0.992368410280599,0.89398596749692,0.9734392659327468,2.9740299326201907,0.8951680089193701,3.0551776949027047,3.322314809049514,3.2340716889186534,0.6954093044,0.0,0.0,0.0,0.0,0.4343783546987149,0.3401203211170462,0.9465235322,0.6954093044,-0.0005080851816717,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,RIT,0.20654313079258566,0.0010984494876524985,-3.2742916841343845,0.018978651284181653,0.15122169666700475,0.0011680829614129978,5.616725126366454,0.24413118049077234,0.5077707062614036,0.09131045713202052
1283,1.0,0.25,0.0,0.0,0.0,0.2775,0.1349919561598227,1.6961540594481477,0.993831847638232,1.14268883063516,0.9701872857791476,2.819040704669181,0.8825267389750184,2.905666509951466,3.1942836179029124,3.099053353262021,0.6850859296,0.0,0.0,0.0,0.0,0.3931015922528148,0.3475869815168266,0.9512320292,0.6850859296,-0.000817028377549,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,RIT,0.21649289579541464,0.0019845715452320657,-2.412996215278156,0.03091832990827274,0.1575120761389246,0.002339895943866542,4.940985375995339,0.19236420110142874,4.379653863259158,0.22817249819810784
1400,0.6,0.2343749999999999,0.0,0.0,0.0,0.36,0.2246772131319553,3.431031563077489,0.993819560802835,1.0091719646229,0.9724623135654208,2.817993732989541,0.8841236294506891,2.897792226680429,3.187329960562616,3.099558267545102,0.6489465065,0.0,0.0,0.0,120.31,0.3612744185798116,0.3543796294834465,0.9576925387,0.6489465065,-0.0010322629588637,0.001,1.0,0.3662667109852408,0.3527113535796874,0.9571899292820022,0.6513011211070794,RIT,0.18796222643188076,0.015807909885836833,-3.738078741536262,0.2962660627139957,0.16094301233249175,0.0030489578095941796,3.579409010571224,0.14458746198892677,2.268225220829934,0.45055217279198945
1475,0.3333333333333333,0.1875,0.0,0.0,0.0,0.6156,,,0.994048176972168,0.625199794756983,0.989907883719004,3.148630775984193,0.9464469819974326,3.180731083941913,3.326790444552058,3.2932160885431334,0.5674920264,0.0,0.0,0.0,197.09,0.2976766851386808,0.3352263575045732,0.9801048211,0.5674920264,-0.0013666267603783,0.001,1.0,0.2849550865647949,0.33276172592,0.971248210181883,0.5405636817226854,RIT,0.1852450669494523,0.03629900626075875,-1.0848722030744578,0.25547857997720663,0.1546554146295459,0.003656176342758537,1.5583408439582218,0.09610624543957162,0.5970314966191745,0.21667980450617735
1255,0.7500000000000013,0.2448979591836735,0.0,0.0,0.0,0.09,0.1077843600833856,3.8150350123160033,0.989892420845415,0.937179567012189,0.97086557075772,2.817725305298049,0.8827674111522068,2.9022816239110547,3.191922662414887,3.09892781745993,0.6748260924,0.0,0.0,0.0,72.22,0.3823798013843047,0.356229817673984,0.953932065,0.6748260924,-0.0010497264563428,0.001,1.0,0.385416566825435,0.3574701254265389,0.9534713184168964,0.6750187370840793,RIT,0.17347378446688044,0.0025106903003597834,-2.290630694299449,0.46125912822546045,0.1511699206932403,0.0010277990379679814,2.3264090980269443,0.14616749941257118,0.6011402798166496,0.16884077732485067
1282,1.0,0.25,0.0,0.0,0.0,0.19,0.0725423090654798,0.904944225137548,0.994288400442046,1.20990582067254,0.9697881517918282,2.819282928009646,0.8809781187116201,2.9071121592902536,3.200173611726799,3.1034904523295115,0.6861699297,0.0,0.0,0.0,0.0,0.3953690617246512,0.3608033262001981,0.9513038244,0.6861699297,-0.0009336697251664,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,RIT,,,,,,,,,,
