fit_type,fit_order,template_model,catalogs,fitting_quantities,quantity_to_fit,chi_sq,reduced_chi_sq,log_evidence,c2A_22_from_22_220_median_p0,c2A_22_from_22_220_median_p1,c2A_22_from_22_220_median_p2,c2A_22_from_22_220_median_p3,c2A_22_from_22_220_median_p4,c2A_22_from_22_220_median_p5,c2A_22_from_22_220_median_p6,c2A_22_from_22_220_median_p7,c2A_22_from_22_220_median_p8,c2A_22_from_22_220_median_p9,c2A_22_from_22_220_median_p10,c2A_22_from_22_220_median_p11,c2A_22_from_22_220_median_p12,c2A_22_from_22_220_median_p13,c2A_22_from_22_220_median_p14,c2A_22_from_22_220_median_p15,c2A_22_from_22_220_median_p16,c2A_22_from_22_220_median_p17,c2A_22_from_22_220_median_p18,c2A_22_from_22_220_median_p19,c3A_22_from_22_220_median_p0,c3A_22_from_22_220_median_p1,c3A_22_from_22_220_median_p2,c3A_22_from_22_220_median_p3,c3A_22_from_22_220_median_p4,c3A_22_from_22_220_median_p5,c3A_22_from_22_220_median_p6,c3A_22_from_22_220_median_p7,c3A_22_from_22_220_median_p8,c3A_22_from_22_220_median_p9,c3A_22_from_22_220_median_p10,c3A_22_from_22_220_median_p11,c3A_22_from_22_220_median_p12,c3A_22_from_22_220_median_p13,c3A_22_from_22_220_median_p14,c3A_22_from_22_220_median_p15,c3A_22_from_22_220_median_p16,c3A_22_from_22_220_median_p17,c3A_22_from_22_220_median_p18,c3A_22_from_22_220_median_p19,c2p_22_from_22_220_median_p0,c2p_22_from_22_220_median_p1,c2p_22_from_22_220_median_p2,c2p_22_from_22_220_median_p3,c2p_22_from_22_220_median_p4,c2p_22_from_22_220_median_p5,c2p_22_from_22_220_median_p6,c2p_22_from_22_220_median_p7,c2p_22_from_22_220_median_p8,c2p_22_from_22_220_median_p9,c2p_22_from_22_220_median_p10,c2p_22_from_22_220_median_p11,c2p_22_from_22_220_median_p12,c2p_22_from_22_220_median_p13,c2p_22_from_22_220_median_p14,c2p_22_from_22_220_median_p15,c2p_22_from_22_220_median_p16,c2p_22_from_22_220_median_p17,c2p_22_from_22_220_median_p18,c2p_22_from_22_220_median_p19,c3p_22_from_22_220_median_p0,c3p_22_from_22_220_median_p1,c3p_22_from_22_220_median_p2,c3p_22_from_22_220_median_p3,c3p_22_from_22_220_median_p4,c3p_22_from_22_220_median_p5,c3p_22_from_22_220_median_p6,c3p_22_from_22_220_median_p7,c3p_22_from_22_220_median_p8,c3p_22_from_22_220_median_p9,c3p_22_from_22_220_median_p10,c3p_22_from_22_220_median_p11,c3p_22_from_22_220_median_p12,c3p_22_from_22_220_median_p13,c3p_22_from_22_220_median_p14,c3p_22_from_22_220_median_p15,c3p_22_from_22_220_median_p16,c3p_22_from_22_220_median_p17,c3p_22_from_22_220_median_p18,c3p_22_from_22_220_median_p19,c4p_22_from_22_220_median_p0,c4p_22_from_22_220_median_p1,c4p_22_from_22_220_median_p2,c4p_22_from_22_220_median_p3,c4p_22_from_22_220_median_p4,c4p_22_from_22_220_median_p5,c4p_22_from_22_220_median_p6,c4p_22_from_22_220_median_p7,c4p_22_from_22_220_median_p8,c4p_22_from_22_220_median_p9,c4p_22_from_22_220_median_p10,c4p_22_from_22_220_median_p11,c4p_22_from_22_220_median_p12,c4p_22_from_22_220_median_p13,c4p_22_from_22_220_median_p14,c4p_22_from_22_220_median_p15,c4p_22_from_22_220_median_p16,c4p_22_from_22_220_median_p17,c4p_22_from_22_220_median_p18,c4p_22_from_22_220_median_p19
non-spinning,3,polynomial,RIT,nu-Heff_til,c3A_22_from_22_220_median,17130.14948542059,91.11781641181165,-8663.281773243722,,,,,,,,,,,,,,,,,,,,,-2.856934045379171,0.1688793572224046,0.7808293755978777,0.170907980224064,0.6423435891402548,1.6639882044383223,0.1569177724615646,0.1281979449217188,-1.2946198091999463,-2.685347976711538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-spinning,1,polynomial,RIT,Jmrg_til,c3A_22_from_22_220_median,21291.517047820576,108.63018901949272,-10667.064977616914,,,,,,,,,,,,,,,,,,,,,-2.329913251826013,-0.2058657736446948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-spinning,2,polynomial,RIT,Jmrg_til,c3A_22_from_22_220_median,18614.56417561969,95.45930346471634,-9338.334293966094,,,,,,,,,,,,,,,,,,,,,-2.2392746077445524,0.4672429637257697,-1.2670530220335074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-spinning,3,polynomial,RIT,Jmrg_til,c3A_22_from_22_220_median,17944.867569470778,92.49931736840608,-9011.845193399917,,,,,,,,,,,,,,,,,,,,,-1.5373639940076798,-1.1214093970455532,-2.0493898883155746,2.046907940455444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-spinning,1,polynomial,RIT,nu-Jmrg_til,c3A_22_from_22_220_median,20713.12934605865,106.22117613363407,-10388.393283061783,,,,,,,,,,,,,,,,,,,,,-2.5332974096016234,0.1988879753979346,-0.0491394864470081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-spinning,2,polynomial,RIT,nu-Jmrg_til,c3A_22_from_22_220_median,18543.779767035056,96.58218628664092,-9332.232072201914,,,,,,,,,,,,,,,,,,,,,-2.34880400223444,0.1438964043148067,0.5461898547862385,0.0319118906158753,-0.1826586978534109,-1.2324193863496231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-spinning,3,polynomial,RIT,nu-Jmrg_til,c3A_22_from_22_220_median,17723.698498824946,94.27499201502631,-8957.828119062975,,,,,,,,,,,,,,,,,,,,,-1.4285046472863256,0.3320410933122089,-1.505186955310615,-0.3591118554432734,-0.0369321043523935,-1.973920571513205,-0.1536356284403146,0.5324592858540563,-0.0982037066089334,2.199650846474077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-spinning,1,polynomial,RIT,nu-Heff_til-b_massless_EOB,c3A_22_from_22_220_median,20651.014610602644,106.4485289206322,-10367.415761002178,,,,,,,,,,,,,,,,,,,,,-2.5581050536587218,0.1801889801049852,-0.0930222604124983,-0.0388625237462605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-spinning,2,polynomial,RIT,nu-Heff_til-b_massless_EOB,c3A_22_from_22_220_median,9658.836189691756,51.37678824304125,-4926.24592938221,,,,,,,,,,,,,,,,,,,,,2.3448179032711405,-0.4442641360529181,-3.4207108288556407,-4.894096535871331,0.3198020008402754,0.4565212361813309,0.0708408279338099,-1.0581787000816885,5.990029254362472,-1.2344690514232652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-spinning,3,polynomial,RIT,nu-Heff_til-b_massless_EOB,c3A_22_from_22_220_median,8453.91006909697,47.49387679267961,-4389.712792013724,,,,,,,,,,,,,,,,,,,,,-8.111076650731468,3.34637700207578,8.22079495741583,21.848283020276583,-0.1886112173440332,-1.444591811043234,-3.632963031388017,-0.3923972212937927,-22.63386168986224,-19.27032791722791,0.3498989102892662,0.0206688108531522,0.1563448241115402,-1.6489964622212216,3.0088049077934733,-1.1678565711320927,-2.030571251672712,-0.1405134421672883,18.1149188611444,1.2172505818895365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
