fit_type,fit_order,template_model,catalogs,fitting_quantities,quantity_to_fit,chi_sq,reduced_chi_sq,c2A_22_from_22_220_median_p0,c2A_22_from_22_220_median_p1,c2A_22_from_22_220_median_p2,c2A_22_from_22_220_median_p3,c2A_22_from_22_220_median_p4,c2A_22_from_22_220_median_p5,c2A_22_from_22_220_median_p6,c2A_22_from_22_220_median_p7,c2A_22_from_22_220_median_p8,c2A_22_from_22_220_median_p9,c2A_22_from_22_220_median_p10,c2A_22_from_22_220_median_p11,c2A_22_from_22_220_median_p12,c2A_22_from_22_220_median_p13,c2A_22_from_22_220_median_p14,c2A_22_from_22_220_median_p15,c2A_22_from_22_220_median_p16,c2A_22_from_22_220_median_p17,c2A_22_from_22_220_median_p18,c2A_22_from_22_220_median_p19,c3A_22_from_22_220_median_p0,c3A_22_from_22_220_median_p1,c3A_22_from_22_220_median_p2,c3A_22_from_22_220_median_p3,c3A_22_from_22_220_median_p4,c3A_22_from_22_220_median_p5,c3A_22_from_22_220_median_p6,c3A_22_from_22_220_median_p7,c3A_22_from_22_220_median_p8,c3A_22_from_22_220_median_p9,c3A_22_from_22_220_median_p10,c3A_22_from_22_220_median_p11,c3A_22_from_22_220_median_p12,c3A_22_from_22_220_median_p13,c3A_22_from_22_220_median_p14,c3A_22_from_22_220_median_p15,c3A_22_from_22_220_median_p16,c3A_22_from_22_220_median_p17,c3A_22_from_22_220_median_p18,c3A_22_from_22_220_median_p19,c2p_22_from_22_220_median_p0,c2p_22_from_22_220_median_p1,c2p_22_from_22_220_median_p2,c2p_22_from_22_220_median_p3,c2p_22_from_22_220_median_p4,c2p_22_from_22_220_median_p5,c2p_22_from_22_220_median_p6,c2p_22_from_22_220_median_p7,c2p_22_from_22_220_median_p8,c2p_22_from_22_220_median_p9,c2p_22_from_22_220_median_p10,c2p_22_from_22_220_median_p11,c2p_22_from_22_220_median_p12,c2p_22_from_22_220_median_p13,c2p_22_from_22_220_median_p14,c2p_22_from_22_220_median_p15,c2p_22_from_22_220_median_p16,c2p_22_from_22_220_median_p17,c2p_22_from_22_220_median_p18,c2p_22_from_22_220_median_p19,c3p_22_from_22_220_median_p0,c3p_22_from_22_220_median_p1,c3p_22_from_22_220_median_p2,c3p_22_from_22_220_median_p3,c3p_22_from_22_220_median_p4,c3p_22_from_22_220_median_p5,c3p_22_from_22_220_median_p6,c3p_22_from_22_220_median_p7,c3p_22_from_22_220_median_p8,c3p_22_from_22_220_median_p9,c3p_22_from_22_220_median_p10,c3p_22_from_22_220_median_p11,c3p_22_from_22_220_median_p12,c3p_22_from_22_220_median_p13,c3p_22_from_22_220_median_p14,c3p_22_from_22_220_median_p15,c3p_22_from_22_220_median_p16,c3p_22_from_22_220_median_p17,c3p_22_from_22_220_median_p18,c3p_22_from_22_220_median_p19,c4p_22_from_22_220_median_p0,c4p_22_from_22_220_median_p1,c4p_22_from_22_220_median_p2,c4p_22_from_22_220_median_p3,c4p_22_from_22_220_median_p4,c4p_22_from_22_220_median_p5,c4p_22_from_22_220_median_p6,c4p_22_from_22_220_median_p7,c4p_22_from_22_220_median_p8,c4p_22_from_22_220_median_p9,c4p_22_from_22_220_median_p10,c4p_22_from_22_220_median_p11,c4p_22_from_22_220_median_p12,c4p_22_from_22_220_median_p13,c4p_22_from_22_220_median_p14,c4p_22_from_22_220_median_p15,c4p_22_from_22_220_median_p16,c4p_22_from_22_220_median_p17,c4p_22_from_22_220_median_p18,c4p_22_from_22_220_median_p19
non-spinning,3,polynomial,RIT,nu-Heff_til,c2A_22_from_22_220_median,4323.9474530224015,20.30022278414273,0.2161302451624478,-0.0029591133679191,-0.0338616070593387,-0.0117274629706284,-0.0164431111469084,0.0078484387284412,-0.0085720376705342,0.0040551071354796,0.0451279732546138,0.1493095980943163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-spinning,1,polynomial,RIT,Jmrg_til,c2A_22_from_22_220_median,7556.926589346203,34.19423796084255,0.2069355143557618,-0.0049059005304257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-spinning,2,polynomial,RIT,Jmrg_til,c2A_22_from_22_220_median,5421.876813369519,24.644894606225087,0.225743003659542,-0.1022748490825475,0.1027422511693508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-spinning,3,polynomial,RIT,Jmrg_til,c2A_22_from_22_220_median,5133.929049297198,23.442598398617346,0.1952826032090234,-0.033991477556067,0.1443830095547088,-0.0978565479785336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-spinning,1,polynomial,RIT,nu-Jmrg_til,c2A_22_from_22_220_median,6457.742406159164,29.353374573450743,0.2302767664587974,-0.0175701566668547,-0.0265093349072056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-spinning,2,polynomial,RIT,nu-Jmrg_til,c2A_22_from_22_220_median,4679.48934395449,21.56446702283176,0.2496575585565595,-0.0205244082572532,-0.1147341295429296,-0.009667158262542,0.0209762118949808,0.0920801220422986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-spinning,3,polynomial,RIT,nu-Jmrg_til,c2A_22_from_22_220_median,4460.372112437663,20.940714142899825,0.2054106308753483,-0.0032348767219198,-0.0241079858147508,0.0007591845958265,-0.0001140078696004,0.1331831254095725,-0.0079191423462802,-0.0131305228019173,0.0029874648758477,-0.1029286027015565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-spinning,1,polynomial,RIT,nu-Heff_til-b_massless_EOB,c2A_22_from_22_220_median,5742.147127323307,26.219849896453457,0.2655131622358285,-0.0175944347996452,0.0148721022983232,-0.0629499216303265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-spinning,2,polynomial,RIT,nu-Heff_til-b_massless_EOB,c2A_22_from_22_220_median,3702.859608783713,17.38431741213011,0.2060399096531639,0.0045063443916821,0.0951221702615656,-0.0053411489846209,-0.0187084358127575,-0.0258353967949755,-0.0086892618129411,-0.0187963931372516,-0.1390829417323753,0.0309193937230477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-spinning,3,polynomial,RIT,nu-Heff_til-b_massless_EOB,c2A_22_from_22_220_median,3159.239370006887,15.562755517275304,-0.7090745339778618,0.0193051980966306,0.0383321870774568,1.920507681874016,0.0050288496804243,0.0638140215664088,0.0636542477773409,0.7538139778346297,-0.7961502371002067,-0.7910005277290761,-0.016252260639443,-0.0017129242236448,-0.0199347785156571,0.0383250539867483,-0.0646508082915914,-0.0853197110782217,0.2961860909316828,-0.9947134731606916,0.8091746091605114,-0.2087030516080445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
