q,nu,chi1z,chi2z,chieff,ecc,ecc_gi,m_ano_gi,E0,J0,Emrg_til,Jmrg_til,Heff_til,b_massless,b_massless_Heff,b_massless_EOB,a_f,A_220,A_320,A_440,v_kick,A_peak22,omega_peak22,Mf,af,A_peak22dotdot,A_nr_error,v_kick_qc,A_peak22_qc,omega_peak22_qc,Mf_qc,af_qc,ID,catalog
1.0,0.25,0.0,0.0,0.0,0.4071,0.3038422445268914,1.8261717367282917,0.993155372274344,1.03514164657538,0.9690688889519816,2.802171428418588,0.8781890230692562,2.8916122066915704,3.19085225937469,3.0921556538021515,0.6851144165,0.0,0.0,0.0,0.0,0.3955573260326273,0.3601457134649877,0.9503218562,0.6851144165,-0.0009520018503634,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1289,RIT
1.0,0.25,0.0,0.0,0.0,0.459775,,,0.992880327665982,0.98808975354923,0.9721853773915043,2.870702364790213,0.8902888160277238,2.95283433751356,3.224461897206197,3.1347747064199334,0.6937325884,0.0,0.0,0.0,0.0,0.4043956336251979,0.3527587049769493,0.9516655314,0.6937325884,-0.0008770419845265,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1294,RIT
1.0,0.25,0.0,0.0,0.0,0.07,0.0702814843584856,5.876123789373597,0.989914737139736,0.967068301109454,0.9700891648918654,2.822551316929844,0.8821459756811936,2.9095792624840526,3.199642003411361,3.103938039042262,0.6874386347,0.0,0.0,0.0,0.0,0.3953744613270699,0.3555866482113856,0.9514149314,0.6874386347,-0.0009968164666772,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1101,RIT
1.0,0.25,0.0,0.0,0.0,0.05,0.0540756800289123,2.1580099069051397,0.990149691440415,0.977411571810917,0.9696685369959906,2.805049389527239,0.8805141432798897,2.892792003149048,3.185694870361208,3.089068084258785,0.6857028489,0.0,0.0,0.0,0.0,0.3921006086804867,0.3666479098607453,0.9516517268,0.6857028489,-0.0011150729006444,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1099,RIT
1.0,0.25,0.0,0.0,0.0,0.008,,,0.990642965364278,0.998783846624536,0.9699756087836988,2.8140640956512613,0.8817053632706147,2.9011699574383703,3.191615037037677,3.0957887385538285,0.6863321432,0.0,0.0,0.0,0.0,0.3933754020575764,0.3637493116498547,0.9515996823,0.6863321432,-0.0010307647029679,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1094,RIT
1.0,0.25,0.0,0.0,0.0,0.015,,,0.990560759313373,0.995253673031852,0.969798254879435,2.8106252955167497,0.8810173103343952,2.8981546227531267,3.190204395019163,3.0938546549982884,0.6863734048,0.0,0.0,0.0,0.0,0.3934844016989821,0.3583654942817134,0.9515538303,0.6863734048,-0.0010375466929485,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1096,RIT
1.0,0.25,0.0,0.0,0.0,0.21,,,0.988268286263264,0.891310903734854,0.9714867212669452,2.832042830911269,0.8875728991959988,2.915163706219182,3.190772085849685,3.099792711992203,0.6880374004,0.0,0.0,0.0,0.0,0.3922031010603354,0.356656723599606,0.9531510659,0.6880374004,-0.0011761318146068,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1117,RIT
1.0,0.25,0.0,0.0,0.0,0.1,,,0.989562151569711,0.951342565252917,0.9697349418965614,2.8069568852478786,0.8807717150702545,2.89456094028969,3.186928959252492,3.090476369129184,0.6847326911,0.0,0.0,0.0,0.0,0.3908517918258069,0.3619751315094532,0.9515512051,0.6847326911,-0.001024675839677,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1104,RIT
1.0,0.25,0.0,0.0,0.0,0.474375,,,0.992804047565259,0.97464635554176,0.9681282174501554,2.7811750391835828,0.8745444908464308,2.872734198894242,3.180141283025879,3.0787845115754946,0.682560963,0.0,0.0,0.0,0.0,0.3928519002896463,0.3577559087577384,0.9498805151,0.682560963,-0.0009524653232862,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1296,RIT
1.0,0.25,0.0,0.0,0.0,0.5376,,,0.992473809647863,0.914151064508136,0.971220481756756,2.783121718184966,0.8865384483676504,2.865592077661727,3.139313047628585,3.048965130503105,0.6849340991,0.0,0.0,0.0,0.0,0.3813077322271488,0.3625775457209457,0.954648537,0.6849340991,-0.0010530101213595,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1307,RIT
1.0,0.25,0.0,0.0,0.0,0.13,,,0.989209446443612,0.935352475761547,0.9703825877021672,2.8278190512687025,0.8832847330311087,2.9141279811758385,3.201480729282693,3.1066611545599607,0.6890043075,0.0,0.0,0.0,0.0,0.3967397456050552,0.3649568374256802,0.9518192727,0.6890043075,-0.0011320242796355,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1107,RIT
1.0,0.25,0.0,0.0,0.0,0.5239,,,0.992545282857255,0.927594462515605,0.972056583283085,2.8871870268091446,0.8897880022079703,2.970184119383028,3.2448032785840173,3.154132388406132,0.6999027355,0.0,0.0,0.0,0.0,0.4166726809905986,0.3777326370127901,0.9512302689,0.6999027355,-0.001186226750746,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1305,RIT
1.0,0.25,0.0,0.0,0.0,0.09,0.1102711238729099,3.588427494910005,0.989679693100269,0.956613201514373,0.9699849634119364,2.8077574003720285,0.8817416584905109,2.894640129776549,3.1843311170969755,3.0887533021088003,0.6858794284,0.0,0.0,0.0,0.0,0.3913623615435971,0.3658837216943822,0.9520351827,0.6858794284,-0.0011502770471945,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1103,RIT
